topic_id,topic_label,top_words
0,Topic 1,"anh_em, tiền, tỉnh, kẻo, gian_thương, ác, lừa_đảo, bọn, dạo, oan"
1,Topic 2,"quyết_định, đợi, thời_gian, thử_thách, cuối_cùng, hẵng, nhiệt_độ, độc_lập, tình_cảm, ram"
2,Topic 3,"cuối_cùng, độc_lập, tình_cảm, thử_thách, thời_gian, quyết_định, nhiệt_độ, hẵng, đợi, cấu_hình"
3,Topic 4,"anh_em, chia_sẻ, mở_mang, thanks_thím, tâm, tầm_mắt, đánh_giá, cuối_cùng, hẵng, nhiệt_độ"
4,Topic 5,"dạo, it, ghê, sinh_viên, trường, đói, liệu, code, rẻ, apple"
5,Topic 6,"đi, giá, bình_thường, xui_xẻo, hãng, hướng, thông_tin, nóng_như, lò, cũ_rích"
6,Topic 7,"giá, món, chúc_mừng, như_vậy, hời, cấu_hình, vấn_đề, họa, đánh_giá, nhu_cầu"
7,Topic 8,"viết, ghim, tụt, xài, bụng, ưng, sóng_khỏe, nói_chung, trâu, máy"
8,Topic 9,"rẻ, đánh_giá, tàu, giá, thực_sự, chi_tiết, đồn, ngon_bổ, bàn_phím, thiết_kế"
9,Topic 10,"giá, rẻ, niêm_yết, triệu, dự_kiến, thế_hệ, ngang, trâu, ghim, bàn_phím"
10,Topic 11,"bình_thường, thông_tin, hãng, đi, xui_xẻo, hướng, đánh_giá, sử_dụng, nhu_cầu, vấn_đề"
11,Topic 12,"anh_em, code, tiền, tư_vấn, intel, sướng, tâm, dạo, cấu_hình, văn"
12,Topic 13,"giá, niêm_yết, triệu, thế_hệ, ngang, dự_kiến, anh_em, nhiệt_độ, xài, dính"
13,Topic 14,"mua, đi, mát, gạch, khóc, nóng_như, cũ_rích, lò, tâm, anh_em"
14,Topic 15,"bình_luận, mấy, tôm, tầm, tiền, văn, ảo, anh_em, trường, dính"
15,Topic 16,"tụt, ghim, quần_cứu, ran, họa, card, tùy, cập_nhật, vấn_đề, nóng"
16,Topic 17,"cấu_hình, triệu, nhờ_vả, game, đầu, tư_vấn, code, góc, aaa, anh_em"
17,Topic 18,"mua, tiền, tức, cục, rước, sướng, giá, cấu_hình, hời, chia_sẻ"
